case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
frontier_low,healthy_reference,0.2,0.0,0.0,0.0,0.0
frontier_low,healthy_reference,0.4,0.0,0.0,0.0,0.0
frontier_low,healthy_reference,0.55,0.0,0.0,0.0,0.0
frontier_low,alzheimers,0.05,0.0,0.0,0.0,0.0
frontier_low,alzheimers,0.1,0.0,0.0,0.0,0.0
frontier_low,alzheimers,0.2,0.0,0.0,0.0,0.0
frontier_low,alzheimers,0.4,0.0,0.0,0.0,0.0
frontier_low,alzheimers,0.55,0.0,0.0,0.0,0.0
frontier_low,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
frontier_low,gbm_reference_addon,0.1,0.0,0.0,0.0,0.0
frontier_low,gbm_reference_addon,0.2,0.0,0.0,0.0,0.0
frontier_low,gbm_reference_addon,0.4,0.0,0.0,0.0,0.0
frontier_low,gbm_reference_addon,0.55,0.0,0.0,0.0,0.0
reference,healthy_reference,0.05,0.0,0.0,0.0,0.0
reference,healthy_reference,0.1,0.0,0.0,0.0,0.0
reference,healthy_reference,0.2,0.0,0.0,0.0,0.0
reference,healthy_reference,0.4,0.0,0.0,0.0,0.0
reference,healthy_reference,0.55,0.0,0.0,0.0,0.0
reference,alzheimers,0.05,0.0,0.0,0.0,0.0
reference,alzheimers,0.1,0.0,0.0,0.0,0.0
reference,alzheimers,0.2,0.0,0.0,0.0,0.0
reference,alzheimers,0.4,0.0,0.0,0.0,0.0
reference,alzheimers,0.55,0.0,0.0,0.0,0.0
reference,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
reference,gbm_reference_addon,0.1,0.0,0.0,0.0,0.0
reference,gbm_reference_addon,0.2,0.0,0.0,0.0,0.0
reference,gbm_reference_addon,0.4,0.0,0.0,0.0,0.0
reference,gbm_reference_addon,0.55,0.0,0.0,0.0,0.0
rescue_looser,healthy_reference,0.05,0.0,0.0,0.0,0.0
rescue_looser,healthy_reference,0.1,0.002504895932959876,0.006473528431289566,0.0005736294353847343,0.002166745172784923
rescue_looser,healthy_reference,0.2,0.00253099173553719,0.028288865685269116,0.0007784970908792932,0.001938768311027017
rescue_looser,healthy_reference,0.4,0.0,0.06100254724935894,0.0036466442678030064,0.00034438526574920303
rescue_looser,healthy_reference,0.55,0.009097592354346628,0.2279081446621376,0.018724903712201924,0.005709360623083581
rescue_looser,alzheimers,0.05,0.0,0.0,0.0,0.0
rescue_looser,alzheimers,0.1,0.002496724593973253,0.006977269514329976,0.0006006006006006037,0.00214965677437573
rescue_looser,alzheimers,0.2,0.0025508773896955766,0.03347430032253129,0.0004893782671560459,0.0018137006383633913
