mass,count,pmf_collective,sample,state,u
82,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
87,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
90,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
93,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
94,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
98,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
99,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
112,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
113,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
124,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
125,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
140,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
183,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
208,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
307,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
584,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
2,368,0.3053941908713693,healthy_reference,endpoint,0.5623617143325412
3,195,0.16182572614107885,healthy_reference,endpoint,0.5623617143325412
4,117,0.0970954356846473,healthy_reference,endpoint,0.5623617143325412
5,60,0.04979253112033195,healthy_reference,endpoint,0.5623617143325412
6,61,0.05062240663900415,healthy_reference,endpoint,0.5623617143325412
7,45,0.03734439834024896,healthy_reference,endpoint,0.5623617143325412
8,32,0.026556016597510373,healthy_reference,endpoint,0.5623617143325412
9,19,0.015767634854771784,healthy_reference,endpoint,0.5623617143325412
10,19,0.015767634854771784,healthy_reference,endpoint,0.5623617143325412
11,18,0.014937759336099586,healthy_reference,endpoint,0.5623617143325412
12,18,0.014937759336099586,healthy_reference,endpoint,0.5623617143325412
13,15,0.012448132780082987,healthy_reference,endpoint,0.5623617143325412
14,17,0.014107883817427386,healthy_reference,endpoint,0.5623617143325412
15,10,0.008298755186721992,healthy_reference,endpoint,0.5623617143325412
16,8,0.006639004149377593,healthy_reference,endpoint,0.5623617143325412
17,10,0.008298755186721992,healthy_reference,endpoint,0.5623617143325412
18,5,0.004149377593360996,healthy_reference,endpoint,0.5623617143325412
